127.0.0.1 - - [20/Jan/2023:09:48:21 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:37 +0900] "GET /ws5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:38 +0900] "GET /ws5/ HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:38 +0900] "GET /ws5/websquare/javascript.wq?q=/bootloader HTTP/1.1" 200 18276
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:38 +0900] "GET /ws5/websquare/suffix.txt?postfix=16741757186873624.9469042483297 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:38 +0900] "GET /ws5/websquare/config.xml?postfix=16741757186926123.493741973163 HTTP/1.1" 200 20882
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:39 +0900] "GET /ws5/websquare/javascriptPluginAll.wq?w2xType=5&postfix=NS4wXzQuNDIxNUEuMjAyMDEwMTUuMTE1MDQ1Xw==MS44&compression=true HTTP/1.1" 200 721456
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:39 +0900] "GET /ws5/websquare/externalJS/jquery/jquery-1.10.2.min.js?postfix=2023_01 HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:39 +0900] "GET /ws5/websquare/externalJS/es5-sham.mod.js?postfix=2023_01 HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:40 +0900] "GET /ws5/websquare/externalJS/papaparse.js?postfix=2023_01 HTTP/1.1" 200 49525
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:40 +0900] "GET /ws5/websquare/message/ko.js?postfix=2023_01 HTTP/1.1" 200 19259
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:40 +0900] "GET /ws5/js/eduCommon.js?postfix=16741757200197776.68535334689 HTTP/1.1" 200 21948
0:0:0:0:0:0:0:1 - - [20/Jan/2023:09:48:40 +0900] "GET /ws5/websquare/skin/stylesheet_ext.css?postfix=2023_01 HTTP/1.1" 200 158044
